State,2016 presidential election,Governor,State Senate,State House,Senior U.S. Senator,Junior U.S. Senator,U.S. House of Representatives,Partisan split (as of 2017)
Alabama,Republican,Republican,Republican 27Ð8,Republican 77Ð28,Republican,Democratic,Republican 6Ð1,Republican
Alaska,Republican,Republican,Republican 13Ð7,Coalition 23Ð17[b],Republican,Republican,Republican,Republican
Arizona,Republican,Republican,Republican 17Ð13,Republican 31Ð29,Democratic,Republican,Democratic 5Ð4,Republican
Arkansas,Republican,Republican,Republican 26Ð9,Republican 76Ð24,Republican,Republican,Republican 4,Republican
California,Democratic,Democratic,Democratic 29Ð11,Democratic 61Ð19,Democratic,Democratic,Democratic 46Ð7,Democratic
Colorado,Democratic,Democratic,Democratic 19Ð16,Democratic 41Ð24,Democratic,Republican,Democratic 4Ð3,Republican
Connecticut,Democratic,Democratic,Democratic 22Ð14,Democratic 91Ð60,Democratic,Democratic,Democratic 5,Democratic
Delaware,Democratic,Democratic,Democratic 12Ð9,Democratic 26Ð15,Democratic,Democratic,Democratic,Democratic
Florida,Republican,Republican,Republican 23Ð17,Republican 73Ð47,Republican,Republican,Republican 14Ð13,Democratic
Georgia,Republican,Republican,Republican 35Ð21,Republican 105Ð75,Republican,Republican,Republican 9Ð5,Democratic
Hawaii,Democratic,Democratic,Democratic 24Ð1,Democratic 46Ð5,Democratic,Democratic,Democratic 2,Democratic
Idaho,Republican,Republican,Republican 28Ð7,Republican 56Ð14,Republican,Republican,Republican 2,Republican
Illinois,Democratic,Democratic,Democratic 40Ð19,Democratic 74Ð44,Democratic,Democratic,Democratic 13Ð5,Democratic
Indiana,Republican,Republican,Republican 40Ð10,Republican 67Ð33,Republican,Republican,Republican 7Ð2,Republican
Iowa,Republican,Republican,Republican 32Ð18,Republican 53Ð47,Republican,Republican,Democratic 3Ð1,Republican
Kansas,Republican,Democratic,Republican 28Ð11Ð1[d],Republican 84Ð41,Republican,Republican,Republican 3Ð1,Republican
