seconds_since_Epoch,tested,positive,deaths
1583651326,20,0,
1583700172,23,0,
1583790457,32,0,
1583880060,47,0,
1583981097,60,0,
1584110139,60,1,
1584137412,144,1,
1584396920,251,1,
1584422731,337,3,
1584515664,438,6,
1584661658,513,9,
1584750868,698,12,
1584820938,698,14,
1584910162,698,22,
1585024220,1022,36,
1585100787,1022,42,
1585102036,1691,42,
1585184300,1691,42,1
1585191176,1691,59,1
1585245769,1860,59,1
1585277218,1860,69,1
1585334649,2388,69,1
1585363508,2388,85,2
1585366431,2921,85,2
1585445189,3334,102,2
1585533597,3334,114,3
1585591374,3654,114,3
1585623353,3713,119,3
1585707860,4603,133,3
1585791054,4603,143,3
1585801221,5022,143,3
1585859882,5022,147,3
1585942033,5022,157,3
1586031902,5022,171,5
1586119922,5022,185,6
1586122622,6284,185,6
1586201882,6284,191,6
1586204522,6883,191,6
1586290502,6913,213,6
1586374022,7068,226,7
1586457302,7068,235,7
1586463302,7223,235,7
1586548442,7223,246,7
1586554262,7432,246,7
1586631335,7432,257,8
1586636267,7732,257,8
1586719681,7732,272,8
1586731167,8038,272,8
1586805973,8038,277,8
1586891776,8038,285,9
1586908502,8348,285,9
1586979722,8348,293,9
1586986965,8664,293,9
1587067711,8664,300,9
1587069182,8735,300,9
1587154060,8735,309,9
1587167222,9450,309,9
1587242043,9450,314,9
1587257702,9655,314,9
1587321902,9655,319,9
1587341882,9895,319,9
1587409978,9895,321,9
1587436157,10124,321,9
1587503431,10124,329,9
1587504827,11119,329,9
1587587960,11119,335,9
