seconds_since_Epoch,tested,positive,deaths
1583651326,,0,
1583900198,10,0,
1584110139,12,1,
1584148400,28,5,0
1584161186,28,6,0
1584286826,28,12,0
1584306715,28,13,0
1584333619,32,22,0
1584396920,38,28,0
1584412310,39,29,0
1584475630,46,36,0
1584498947,49,39,0
1584563350,56,46,0
1584598356,61,51,0
1584631341,78,68,0
1584661658,88,78,0
1584727343,91,81,0
1584750868,116,106,0
1584814995,134,124,0
1584832449,1258,131,0
1584890168,1602,138,0
1584921301,1602,157,0
1584982167,1832,167,0
1585004414,1832,196,0
1585067114,2321,215,0
1585092445,2321,242,0
1585152300,2812,283,0
1585184300,2812,386,0
1585191176,2812,386,1
1585251221,4082,489,1
1585257048,4082,501,1
1585259866,4082,506,1
1585267264,4082,524,1
1585277218,4082,531,1
1585323729,4082,540,3
1585324705,4755,540,3
1585326353,4755,567,3
1585330099,4755,571,3
1585334649,4755,583,3
1585339080,4755,587,3
1585349306,4755,604,3
1585349795,4755,627,3
1585363508,4755,639,3
1585408369,4755,644,3
1585414054,4755,647,3
1585420273,4755,668,3
1585424731,4755,694,3
1585429267,4755,696,3
1585438466,4755,702,3
1585439073,4755,712,3
1585445189,4755,720,3
1585491292,4755,760,4
1585493990,4755,762,4
1585499554,4755,766,4
1585500290,4755,767,4
1585505264,4755,783,4
1585507491,4755,793,4
1585511978,4755,806,4
1585518353,4755,820,4
1585518899,4755,827,4
1585533597,4755,830,4
1585576085,6531,830,6
1585582196,6531,831,6
1585588836,6531,837,6
1585590026,6531,847,6
1585598379,6531,859,6
1585602612,6531,907,6
1585605816,6531,921,6
1585615607,6531,935,6
1585616468,6531,947,6
1585660495,6531,949,13
1585668284,6531,952,13
1585678676,7249,961,19
1585681707,7249,974,20
1585685048,7249,979,20
1585688590,7249,981,20
1585693173,7249,981,22
1585697070,7249,982,23
1585707860,7249,999,24
1585752522,7249,1000,24
1585755463,7774,1000,24
1585756118,7774,1013,26
1585760279,7774,1019,26
1585764986,7774,1060,26
1585776709,7774,1084,28
1585783485,7774,1105,28
1585785963,7774,1108,28
1585834570,7774,1115,32
1585835727,7774,1116,32
1585842253,8619,1116,32
1585847582,8619,1161,32
1585850102,8619,1179,32
1585853342,8619,1189,32
1585858082,8619,1202,32
1585860363,8619,1233,32
1585865223,8619,1251,32
1585868342,8619,1261,32
1585873322,8619,1265,32
1585874702,8619,1270,32
1585933263,9560,1352,34
1585942033,9581,1414,34
1585944062,9581,1432,35
1585950782,9601,1495,38
1585959062,9601,1529,39
1585963502,9601,1535,39
1586016422,10829,1546,41
1586024942,10829,1550,41
1586031902,10829,1580,43
1586038142,10829,1597,43
1586043602,10847,1633,44
1586098502,13078,1676,45
1586106182,13078,1716,45
1586109542,13078,1739,45
1586119922,13078,1796,45
1586126702,13078,1827,45
1586130422,13078,1841,45
1586137142,13108,1841,45
1586179742,13108,1842,45
1586190242,14765,1842,45
1586190842,14765,1862,45
1586191803,14765,1880,45
1586196243,14765,1927,47
1586201882,14765,1952,49
1586204522,14765,1968,50
1586210703,14765,1999,52
1586214302,14765,2006,53
1586266623,14765,2008,53
1586272682,14765,2035,53
1586274662,14765,2054,54
1586277842,14765,2063,55
1586281202,14765,2089,55
1586286062,14765,2105,56
1586290502,14765,2119,56
1586299082,14765,2197,64
1586352722,18982,2229,65
1586358062,18982,2241,65
1586368682,18982,2328,66
1586371382,18982,2369,66
1586379182,18982,2427,66
1586385842,18982,2472,67
1586388242,18982,2499,67
1586440203,20605,2547,68
1586450942,20605,2603,70
1586460362,20605,2703,70
1586461682,20605,2721,72
1586469902,20605,2810,77
1586477392,20605,2838,78
1586525763,20605,2881,79
1586536503,20605,2921,79
1586543273,20605,2935,79
1586548442,20605,2959,80
1586554262,20605,2968,80
1586561102,20605,2999,80
1586562236,20605,3008,80
1586617982,20605,3032,81
1586625362,20605,3100,89
1586626862,20605,3142,90
1586631335,20605,3167,91
1586635682,20605,3191,91
1586637773,20605,3217,92
1586641502,20605,3232,92
1586647152,20605,3257,92
1586649838,20605,3262,93
1586706722,20605,3364,93
1586710522,20605,3410,93
1586713863,20605,3450,93
1586717669,20605,3479,93
1586723426,20605,3497,93
1586723642,20605,3525,93
1586729403,20605,3563,93
1586734314,20605,3579,93
1586738402,20605,3583,93
1586786222,20605,3611,95
1586790183,29140,3611,95
1586794802,29140,3616,96
1586795582,29140,3660,96
1586801883,29140,3671,98
1586804141,29140,3692,99
1586808712,29140,3706,99
1586812683,29140,3734,99
1586815519,29140,3762,101
1586817603,29140,3803,103
1586878503,33050,3809,105
1586882883,33050,3811,105
1586887922,33050,3836,109
1586894575,33050,3876,110
1586907782,33050,3953,114
1586960583,33835,3970,115
1586963762,33835,4006,116
1587007862,34077,4241,123
1587081429,36363,4404,137
1587167222,37848,4572,151
1587257702,42538,4723,151
1587341882,45712,4903,160
1587436157,45712,5078,164
1587504827,48387,5269,180
