seconds_since_Epoch,tested,positive,deaths
1583651326,56,5,0
1583880060,84,6,0
1583951429,100,9,0
1584055830,115,9,0
1584137412,143,9,0
1584204870,183,12,0
1584396920,206,18,0
1584475630,228,20,0
1584563350,277,27,0
1584641939,349,44,0
1584750868,375,63,0
1584832449,466,104,1
1584894599,523,152,2
1584999108,550,235,2
1585077154,661,326,5
1585184300,777,401,6
1585251221,888,508,8
1585334649,1057,665,13
1585414054,1164,773,15
1585512536,1303,912,16
1585606825,16759,1157,20
1585678676,19371,1289,24
1585763093,21058,1413,29
1585853342,22709,1598,32
1585952762,24673,1769,41
1586017983,27160,2019,52
1586106602,27160,2269,64
1586204522,32534,2456,65
1586277842,33375,2575,73
1586374022,34564,2726,80
1586463302,37178,3018,89
1586554262,37734,3112,97
1586636267,40530,3393,108
1586731167,42109,3539,115
1586818427,43347,3702,122
1586908502,44096,3806,131
1586986965,45310,3962,142
1587081132,47398,4234,150
1587167222,49230,4507,169
1587257702,51045,4719,177
1587341882,52990,4929,184
1587436157,54500,5064,187
1587504827,54500,5251,208
