seconds_since_Epoch,tested,positive,deaths
1583651326,515,88,1
1583713441,515,114,1
1583823426,515,133,1
1583896735,515,157,2
1583909675,847,157,2
1583981097,847,177,3
1584033110,867,177,3
1584055830,888,198,4
1584137412,937,247,5
1584306715,937,335,6
1584333619,1025,335,6
1584422731,8316,392,6
1584475630,8316,472,11
1584563350,8316,598,13
1584641939,8316,675,16
1584729642,8316,1006,19
1584820938,8316,1224,23
1584910162,8316,1468,27
1584925395,26200,1468,27
1584988372,26400,1733,27
1585081911,26400,1733,27
1585092445,27650,2102,40
1585175447,27650,2535,40
1585184300,27650,2535,53
1585243622,66800,2535,53
1585259866,77800,3006,65
1585349306,77800,3801,78
1585429267,77800,4643,101
1585440114,89600,4643,101
1585605816,89600,5763,135
1585689808,89600,6932,150
1585786329,89600,8155,171
1585791054,90100,8155,171
1585873862,92500,9191,203
1585950542,94800,10701,237
1586035802,126700,12026,276
1586119922,126700,13438,319
1586121902,131500,13438,319
1586216343,131500,14336,343
1586219162,143800,14336,343
1586305622,157800,15865,374
1586396702,168800,16957,442
1586477392,177600,18309,492
1586561102,185300,19472,541
1586647152,196200,20615,609
1586719681,196200,21794,651
1586730843,203400,21794,651
1586822057,203400,22348,687
1586822162,212900,22348,687
1586907782,215400,23338,758
1586993163,215400,24424,821
1587013862,227600,24424,821
1587080222,227600,26182,890
1587080282,246400,26182,890
1587161583,246400,27528,985
1587161762,258800,27528,985
1587252663,266900,28963,1072
1587341959,280900,28963,1072
1587436157,280900,30978,1208
1587436982,290500,30978,1208
1587516517,300100,33261,1268
