seconds_since_Epoch,tested,positive,deaths
1583651326,216,8,
1583713441,255,8,
1583790457,275,9,
1583804881,296,12,
1583823426,298,13,
1583880060,298,16,
1583896735,298,18,
1583951429,279,28,
1583981097,298,34,
1584055830,439,49,
1584137412,600,72,
1584148400,607,77,1
1584214605,813,101,1
1584306715,758,131,1
1584412310,1216,160,1
1584598356,2328,216,2
1584661658,2952,277,2
1584750868,3680,363,4
1584832449,4550,475,5
1584921301,5436,591,6
1585004414,6224,720,7
1585092445,7701,912,11
1585184300,8064,1086,19
1585267264,10122,1430,24
1585349306,11676,1734,31
1585434179,13276,2061,44
1585520611,14470,2307,47
1585611141,15364,2627,51
1585694405,16849,2966,69
1585779433,18645,3342,80
1585873862,20411,3728,97
1585952762,22071,4173,111
1586039222,23900,4565,126
1586126702,25773,4950,140
1586212442,26875,5172,150
1586299082,28094,5429,179
1586385842,29199,5655,193
1586477392,31180,6202,226
1586561102,32653,6510,250
1586647152,34873,6893,274
1586729403,37153,7303,290
1586817603,38742,7691,308
1586907782,39580,7941,329
1586993163,40533,8280,357
1587080222,41830,8675,374
1587167222,43307,9047,391
1587252663,44606,9433,411
1587436404,47466,10106,449
1587508022,48704,10447,486
