seconds_since_Epoch,tested,positive,deaths
1583651326,11,1,
1583713441,18,1,
1583804881,19,2,
1583823426,24,5,
1583880060,39,4,
1583896735,39,5,
1583981097,39,10,
1584148400,69,10,
1584243426,115,16,
1584333620,120,17,
1584412310,126,22,
1584498947,170,31,
1584598356,203,39,
1584683488,573,71,
1584804875,573,77,
1584836272,1055,98,
1584921301,1055,116,
1584988373,1229,116,2
1585015867,1334,137,2
1585100787,1609,183,2
1585184300,1858,231,2
1585277218,2166,267,2
1585363508,2516,304,4
1585445189,2812,342,4
1585457169,2812,342,5
1585533597,3085,401,9
1585615607,3759,495,9
1585755463,3759,495,11
1585834570,5070,495,12
1585960322,5584,757,15
1586015943,6438,902,21
1586106182,6834,998,22
1586190242,7453,1097,24
1586272682,7823,1211,24
1586357342,8283,1440,24
1586408822,8283,1440,27
1586449142,8724,1523,27
1586470502,8724,1523,32
1586532542,9355,1660,32
1586555254,9355,1660,38
1586617982,10039,1778,47
1586706722,10640,1875,50
1586790183,10934,1955,52
1586878503,11518,2058,67
1586963762,11525,2197,72
1587047812,12150,2350,81
1587132903,12643,2476,86
1587225243,13268,2666,91
1587314942,13699,2793,96
1587394562,14113,2927,105
1587486302,14939,3098,112
1587571827,15502,3206,127
