seconds_since_Epoch,tested,positive,deaths
1583651326,10,0,
1583768768,18,0,
1583880060,20,0,
1583981097,31,1,
1584029116,41,4,
1584055830,44,4,
1584137412,72,4,
1584208421,74,6,
1584306715,74,7,
1584396920,74,8,0
1584498947,74,16,0
1584563350,74,25,0
1584598356,74,26,0
1584641939,74,30,0
1584727343,74,38,0
1584750868,75,39,0
1584804875,76,40,0
1584820938,81,45,0
1584890168,83,47,0
1584910162,92,56,0
1584982167,104,68,0
1584999109,123,87,0
1585062732,127,91,0
1585084902,140,104,0
1585158458,151,115,0
1585175447,155,119,0
1585245769,166,130,0
1585267264,179,143,0
1585324706,199,163,0
1585349306,201,165,0
1585414054,249,213,0
1585429267,250,214,0
1585500291,268,232,0
1585526531,268,232,6
1585583156,300,264,6
1585602613,300,264,7
1585686502,355,319,10
1585707860,4015,319,10
1585770302,4064,368,11
1585863482,4089,393,12
1585944062,4146,450,12
1585950542,4146,450,14
1586038142,4289,593,14
1586119922,4369,673,14
1586123222,6994,673,14
1586210703,7634,783,15
1586299082,8556,928,16
1586379182,8621,993,18
1586380922,9439,1116,19
1586469902,9892,1209,23
1586554262,11674,1259,23
1586561102,11674,1326,32
1586637773,11674,1479,33
1586727182,11674,1625,35
1586727302,11820,1625,35
1586813419,12304,1761,41
1586907782,12869,1926,43
1586985047,13102,2014,46
1587071976,13350,2075,52
1587167222,14017,2323,61
1587252663,14794,2538,67
1587405602,16470,2745,72
1587503431,16470,2931,82
1587573023,16553,3200,89
