seconds_since_Epoch,tested,positive,deaths
1583651326,,,
1583713441,,5,
1583768768,,11,
1583790457,,12,
1583823426,,17,
1583896735,,22,
1583909675,22,22,
1584033110,22,31,
1584055830,31,31,0
1584076983,42,42,1
1584161186,64,64,1
1584204870,66,66,1
1584255108,91,91,1
1584295521,99,99,1
1584396920,121,121,1
1584422731,143,143,1
1584475630,146,146,1
1584563350,1508,197,1
1584641939,1831,287,10
1584727343,2386,420,13
1584750868,2386,485,14
1584814995,3064,507,14
1584836272,3616,555,20
1584894599,4020,600,23
1584921301,4020,620,25
1584982167,5069,772,25
1585015867,5069,800,26
1585067114,5484,1026,32
1585092445,5484,1097,38
1585158458,6179,1247,40
1585184300,6179,1387,47
1585243622,8926,1525,48
1585267264,8948,1643,56
1585326353,9865,2001,64
1585363508,9865,2198,65
1585414054,11051,2366,69
1585438466,11051,2446,79
1585499554,12564,2651,80
1585524040,12564,2683,83
1585588433,12566,2809,87
1585615607,13457,3032,102
1585671592,16181,3817,108
1585688590,16181,3929,111
1585697549,16181,4117,125
1585760279,20326,4638,139
1585783485,20328,4748,154
1585845723,22957,5348,163
1585873322,22957,5444,176
1585933263,25265,5831,184
1585959062,25265,5967,198
1586018582,26294,6160,201
1586043602,26294,6383,208
1586107263,27832,6647,211
1586127842,27832,6742,219
1586190842,31274,7314,229
1586214302,31274,7558,294
1586276522,33713,8818,329
1586305622,33785,9156,348
1586362142,38787,9881,362
1586368682,38787,9901,362
1586388242,38787,10189,369
1586400902,38787,10204,370
1586449142,41085,10566,379
1586477392,41085,10885,412
1586534462,46147,11483,416
1586562237,46147,11859,425
1586622542,51715,12159,428
1586647152,51715,12261,432
1586707323,54453,12452,433
1586734314,54453,12547,442
1586738971,54453,12550,442
1586795582,57021,13315,464
1586822057,57038,13621,480
1586884442,61795,14223,501
1586911133,61795,14578,524
1586971563,64090,14987,552
1586993163,64099,15260,576
1587044733,65191,15409,579
1587048543,67885,15454,584
1587055802,67939,15669,587
1587080222,67939,16368,617
1587142443,71684,17194,650
1587167222,71693,17432,668
1587257702,74208,17841,677
1587314942,79933,18301,687
1587394562,79933,18489,689
1587405602,84328,18947,733
1587436157,84328,19399,775
1587503431,88140,19881,799
1587516782,88140,20166,818
1587571827,94072,20740,836
