seconds_since_Epoch,tested,positive,deaths
1583651326,27,0,
1583790457,41,0,
1583880060,51,0,
1583936067,67,0,
1584022321,93,0,
1584137412,131,0,
1584148400,131,1,
1584204870,176,1,
1584225605,176,2,
1584243426,176,5,
1584396920,270,5,
1584475630,353,7,
1584498947,353,9,
1584563350,468,9,
1584598356,468,11,
1584683488,613,23,0
1584750868,911,31,0
1584832449,1217,41,0
1584836272,1217,42,0
1584921301,1356,47,0
1585015867,1537,50,0
1585100787,1887,73,0
1585184300,2188,123,0
1585267264,2857,189,3
1585363508,3572,230,4
1585438466,4282,261,5
1585524040,4706,310,6
1585611141,5712,415,7
1585697070,6601,525,9
1585783485,6601,673,9
1585874702,7945,891,9
1585959062,7945,1013,9
1585959182,8870,1013,10
1586043602,8870,1077,10
1586123523,10261,1077,10
1586129643,10261,1101,10
1586204522,10995,1101,10
1586217302,10995,1170,10
1586277842,11246,1170,13
1586305622,11246,1210,13
1586326862,11898,1210,15
1586396702,11898,1232,15
1586408883,12531,1232,18
1586477392,12531,1353,18
1586492628,13094,1353,24
1586563408,13764,1396,25
1586648162,14308,1407,27
1586818427,14881,1426,27
1586908502,15398,1464,39
1587007654,15751,1587,41
1587081132,16183,1609,41
1587167222,16609,1655,43
1587257702,16869,1668,44
1587341882,17445,1672,45
1587436157,17562,1736,48
1587511901,17730,1766,51
