seconds_since_Epoch,tested,positive,deaths
1583651326,,1,
1583804881,32,4,0
1583855685,36,6,0
1583936067,43,10,0
1584029116,64,12,0
1584110139,73,12,0
1584204870,89,15,0
1584286826,121,19,0
1584396920,139,24,1
1584475630,159,30,2
1584563350,193,39,2
1584631341,380,56,2
1584727343,554,79,2
1584750868,554,79,3
1584804875,833,126,3
1584832449,833,126,4
1584890168,1494,201,4
1584910163,1494,201,6
1584982168,1960,259,7
1585062732,2931,365,12
1585152300,3356,477,14
1585243622,4651,645,17
1585323729,6936,981,24
1585408369,8407,1232,31
1585493990,9830,1514,32
1585578094,11658,1786,35
1585667018,13373,2159,49
1585750613,14375,2565,65
1585837700,16285,3039,78
1585933263,17835,3437,102
1586015943,19800,3953,116
1586098502,22652,4411,127
1586186882,26191,4944,139
1586267582,28764,5507,173
1586357342,30869,5943,203
1586449142,32133,6351,245
1586532542,35040,6907,300
1586617982,39215,7435,330
1586706722,42489,7928,343
1586795582,44539,8236,350
1586883721,46017,8527,387
1586967662,48396,8955,436
1587055202,51115,9542,477
1587141026,54785,10154,519
1587228842,56873,10641,545
1587314942,61142,11210,562
1587405602,64639,11686,569
1587486302,67264,12097,630
1587571827,69470,12438,661
