seconds_since_Epoch,tested,positive,deaths
1583651326,44,3,
1583700173,55,3,
1583768768,78,5,
1583855685,95,6,
1583896735,103,9,
1584029116,103,12,
1584033110,106,12,
1584137412,111,17,
1584286826,111,31,
1584295521,125,31,
1584396920,131,37,
1584475630,151,57,
1584563350,179,85,
1584631341,201,107,1
1584727343,243,149,1
1584804875,284,190,1
1584832449,284,190,2
1584890168,338,244,3
1584982168,382,288,3
1585062732,443,349,3
1585152300,517,423,4
1585243622,674,580,4
1585323729,868,774,5
1585408369,1086,992,5
1585493990,1333,1239,10
1585578095,1507,1413,15
1585583546,14729,1413,15
1585667018,16528,1660,18
1585750613,19218,1985,31
1585837701,21221,2331,36
1585933263,23690,2758,42
1586015943,25610,3125,53
1586098502,28337,3609,67
1586186882,29617,4045,91
1586272682,31627,4371,103
1586357342,38462,5529,124
1586449142,41529,6185,138
1586532542,44448,6968,171
1586617982,47238,7694,206
1586706722,49764,8225,235
1586790183,51751,8936,262
1586878503,53733,9472,302
1586963762,55763,10032,349
1587047812,58843,10784,392
1587132903,62009,11572,425
1587225243,65370,12308,463
1587314942,67891,12830,486
1587394562,71397,13684,516
1587486302,73635,14193,584
1587571827,76529,14775,631
