seconds_since_Epoch,tested,positive,deaths
1583651326,49,1,
1583730615,80,2,
1583790458,82,2,
1583880060,135,3,
1583951429,222,5,
1584055830,316,9,
1584137412,555,14,
1584208421,868,21,
1584286826,1422,35,
1584396920,1893,54,
1584475630,2336,60,
1584563350,2762,77,
1584641940,3038,89,
1584727343,3856,115,
1584814995,4090,138,
1584832449,4090,137,1
1584894599,4680,169,1
1584982168,4680,235,1
1585067114,4680,262,1
1585081911,5812,262,1
1585158458,11475,287,1
1585243622,12950,287,2
1585251221,12950,346,2
1585326353,14003,398,4
1585414054,16129,441,5
1585505264,17657,503,9
1585588433,18822,576,10
1585671592,19780,629,12
1585760279,21191,689,17
1585845723,22394,742,18
1585933263,24227,789,18
1585946582,24227,789,22
1586017983,25423,865,24
1586106182,26777,935,29
1586190842,28128,986,30
1586276522,29260,1069,34
1586362203,30753,1154,39
1586449682,32294,1242,50
1586535663,33894,1336,50
1586555254,33894,1336,57
1586621578,35404,1427,64
1586708299,37421,1621,70
1586795582,38427,1650,70
1586883721,39241,1695,79
1586967662,40242,1809,87
1587055802,41675,1912,94
1587141026,43053,2071,111
1587228842,44368,2213,121
1587314942,45716,2356,134
1587405602,46850,2470,143
1587491102,47697,2567,143
1587491162,47697,2567,160
1587573023,49344,2721,179
