seconds_since_Epoch,tested,positive,deaths
1583651326,,1,
1583909676,1,1,
1584055830,73,2,
1584148400,94,4,0
1584243426,127,5,0
1584396920,170,6,0
1584412310,215,8,0
1584498947,268,15,0
1584598356,332,24,1
1584683488,397,28,1
1584750868,416,47,1
1584804875,442,73,3
1584907292,459,90,3
1584982168,475,106,3
1584992546,552,183,3
1585077155,596,227,3
1585084902,624,255,5
1585184300,725,356,8
1585257049,871,502,8
1585339080,1039,670,9
1585424731,1207,838,10
1585518353,1272,903,12
1585583156,14107,903,12
1585597050,14107,1031,13
1585603918,15645,1031,13
1585681707,15645,1327,14
1585759232,17427,1327,14
1585776709,17427,1581,18
1585790485,19430,1581,18
1585858082,19430,1834,19
1585868342,21191,1834,19
1585942033,21191,2113,19
1585952762,24727,2113,19
1586031902,24727,2291,24
1586038142,27173,2291,24
1586119923,27173,2367,34
1586179742,29480,2367,34
1586201882,29480,2722,39
1586210703,31654,2722,39
1586291162,31654,3037,53
1586299082,33820,3037,53
1586374562,33820,3327,58
1586380922,38282,3327,58
1586460362,38282,3539,77
1586477392,40480,3539,77
1586548442,40480,3799,96
1586554262,42947,3799,96
1586633282,42947,4024,109
1586641502,45064,4024,109
1586719681,45064,4160,110
1586805134,45064,4388,114
1586813419,47680,4388,114
1586891776,47680,4686,133
1586899922,48803,4686,133
1586978702,48803,4895,147
1586992563,50432,4895,147
1587067022,50432,5111,152
1587080222,51545,5111,152
1587154060,51545,5283,165
1587161583,53525,5283,165
1587242043,53525,5517,175
1587321902,53525,5667,176
1587342182,55873,5667,176
1587414132,55873,5807,177
1587436157,56986,5807,177
1587501902,56986,5941,189
1587571827,57960,5941,189
1587587960,57960,6137,208
1587594782,59266,6137,208
