seconds_since_Epoch,tested,positive,deaths
1583651326,,0,
1583804881,14,0,
1583896735,20,0,
1583951429,32,0,
1583981097,32,1,
1584055830,42,1,
1584137412,90,4,
1584148400,90,6,
1584295521,90,10,
1584396920,289,12,
1584475630,389,21,
1584563350,513,34,
1584631341,513,50,0
1584661658,602,50,1
1584727343,775,80,1
1584804875,775,140,1
1584890168,775,207,1
1584894599,1321,207,1
1584982168,1392,249,1
1585067114,1872,320,1
1585152300,1943,377,2
1585175447,1943,377,3
1585184300,1943,377,5
1585243622,2776,485,5
1585245769,2776,485,6
1585323729,2776,579,8
1585414054,2776,663,13
1585495776,2776,758,14
1585582196,2776,847,16
1585668284,2776,937,20
1585755463,2776,1073,22
1585842253,2776,1177,26
1585933263,2776,1358,29
1586015943,2776,1455,35
1586106182,2776,1638,43
1586125982,6184,1638,43
1586190242,6309,1738,51
1586273822,6568,1915,59
1586314922,20370,1915,59
1586358362,20370,2003,67
1586449142,20370,2260,76
1586533803,20370,2469,82
1586621042,20370,2642,93
1586706722,20370,2781,96
1586794802,20370,2942,98
1586824503,37733,2942,98
1586878503,37733,3087,111
1586963762,37733,3360,122
1587052202,37733,3624,129
1587150062,37733,3793,140
1587228842,37733,3974,152
1587321902,37733,4274,159
1587328097,50272,4274,159
1587405602,51434,4512,169
1587486302,52364,4716,183
1587587960,53835,4894,193
