seconds_since_Epoch,tested,positive,deaths
1583651326,,,
1583730615,,2,
1583804881,,7,
1583909676,7,7,
1583981097,8,8,
1584022321,12,12,
1584055830,15,15,
1584137412,101,15,0
1584204870,160,23,0
1584286826,259,32,0
1584396920,329,33,0
1584475630,376,40,0
1584563350,1850,63,0
1584631341,2505,97,0
1584727343,3233,137,0
1584804875,5276,184,0
1584890168,6438,255,0
1584982168,8438,297,0
1585062732,8502,398,0
1585152300,10489,504,1
1585251221,12910,636,2
1585339080,15136,763,3
1585408369,17527,935,4
1585493990,18945,1040,4
1585518899,18945,1167,5
1585582196,20864,1307,6
1585667018,23106,1498,8
1585755463,26243,1584,9
1585763700,26243,1584,10
1585847102,28679,1857,16
1585933263,31598,2093,19
1586016842,38773,2402,24
1586106182,40045,2585,31
1586190242,40726,2870,33
1586272682,41082,3221,46
1586360343,42987,3426,53
1586449142,47809,3651,65
1586533803,57645,3908,74
1586621042,60393,4312,80
1586706722,62139,4520,81
1586795582,63388,4816,86
1586879162,65039,5024,108
1586963762,67827,5123,117
1587052202,70917,5465,131
1587141027,72981,5859,152
1587242043,76211,6140,164
1587314942,78772,6493,172
1587394562,79484,6764,179
1587486302,83331,6951,213
1587571827,90336,7220,242
