seconds_since_Epoch,tested,positive,deaths
1583651326,,0,
1583790458,5,0,0
1583880060,8,0,0
1583940693,13,0,0
1583981097,27,1,0
1584055830,41,1,0
1584137412,63,1,0
1584214605,69,1,0
1584225605,87,1,0
1584243426,93,1,0
1584286826,100,1,0
1584333620,112,1,0
1584396920,124,1,0
1584412310,149,1,0
1584475630,223,3,0
1584498947,253,5,0
1584563350,274,6,0
1584598356,362,7,0
1584804875,1169,28,0
1584832449,1182,28,0
1584890168,1288,28,0
1584921301,1355,30,0
1585062732,1440,32,0
1585077155,1488,34,0
1585184300,1955,45,0
1585251221,2091,52,0
1585257049,2261,58,0
1585334649,2492,65,0
1585346092,2708,68,1
1585414054,2892,83,1
1585440399,3107,94,1
1585512536,3453,98,1
1585524040,3724,98,1
1585591374,3837,109,2
1585605816,3909,109,3
1585678676,4181,122,3
1585707860,4257,126,3
1585763093,4493,142,3
1585801221,4627,147,3
1585853342,4980,159,3
1585952762,5798,173,3
1586017983,6207,186,3
1586106602,6787,207,3
1586204522,7213,225,3
1586277842,7703,237,4
1586374022,8552,251,4
1586463302,8990,269,5
1586554262,9608,278,6
1586636267,10080,293,7
1586731167,10350,308,8
1586818427,10781,331,8
1586908502,10916,341,9
1586986965,11317,365,9
1587081132,11704,393,9
1587167222,12342,439,9
1587257702,12963,528,9
1587322591,13630,585,10
1587436157,14747,627,13
1587504827,14987,644,13
