seconds_since_Epoch,tested,positive,deaths
1583651326,25,2,
1583700173,47,4,
1583790458,56,4,
1583880060,68,5,
1583951429,90,5,
1584055830,121,6,
1584214605,132,7,
1584225605,250,7,
1584295521,379,13,
1584396920,567,17,
1584498947,747,26,
1584598356,891,39,
1584661658,1420,44,
1584750868,1970,55,
1584832449,2212,65,
1584921301,2341,78,
1585004414,2417,101,
1585100787,3268,108,1
1585175447,3850,137,1
1585323729,4145,158,1
1585349795,4139,187,2
1585438466,4738,214,2
1585524040,5252,258,3
1585615607,5727,314,3
1585697070,6030,367,3
1585790485,6493,415,4
1585868342,7054,479,5
1585959062,7505,540,7
1586045942,8032,621,9
1586127842,8370,669,9
1586212442,8734,715,9
1586305863,9136,747,13
1586385842,9551,788,18
1586477392,9958,819,21
1586562237,10493,885,22
1586647152,10925,929,23
1586734314,11207,985,23
1586822057,11610,1020,23
1586907782,11847,1091,27
1586985047,12166,1139,32
1587080222,12632,1211,34
1587161583,12852,1287,37
1587252663,13424,1342,38
1587342182,14118,1392,41
1587436157,14295,1447,42
1587511802,15041,1491,42
