seconds_since_Epoch,tested,positive,deaths
1583651326,361,89,
1583700173,361,105,
1583790458,361,142,
1583880061,361,173,
1583981097,361,216,
1584055830,361,325,
1584137412,421,421,
1584208421,524,524,
1584225606,524,524,1
1584243426,613,613,1
1584306715,729,729,3
1584396920,950,950,7
1584422731,7026,950,7
1584475630,7450,1374,7
1584563350,8458,2382,7
1584631341,10228,4152,7
1584734752,13178,7102,7
1584750869,13178,7102,26
1584804875,13178,7102,43
1584823540,16432,10356,43
1584890168,16432,10356,60
1584907292,21244,15168,60
1584925396,21244,15168,63
1584982168,21244,15168,99
1584988373,26951,20875,99
1585015867,26951,20875,125
1585024220,26951,20875,125
1585062732,26951,20875,125
1585067114,26951,20875,131
1585077155,31741,25665,131
1585081911,31741,25665,131
1585092445,31741,25665,192
1585158458,36887,30811,199
1585184300,36887,30811,280
1585245769,43334,37258,281
1585267264,43334,37258,365
1585334649,50711,44635,366
1585366431,50711,44635,450
1585414054,50711,44635,517
1585424731,58394,52318,517
1585438466,58394,52318,672
1585511978,65589,59513,672
1585590166,65589,59513,790
1585599246,72573,66497,790
1585611141,72573,66497,914
1585683582,81871,75795,932
1585707860,81871,75795,1096
1585716226,81871,75795,1096
1585776709,89788,83712,1096
1585836520,220880,83712,1374
1585858803,220880,92381,1374
1585950002,260520,102863,1584
1586017983,283621,113704,1584
1586070602,283621,113704,3565
1586111103,302280,122031,4159
1586196243,320811,130689,4758
1586277422,340058,138863,5489
1586368682,365153,149316,6268
1586449862,391549,159937,7067
1586537283,417885,170512,7844
1586625377,440980,180458,8627
1586710522,461601,188694,9385
1586798081,478357,195031,10056
1586882883,499143,202208,10834
1586979760,526012,213779,11586
1587063158,550579,222284,12192
1587167222,573223,229642,12192
1587228962,596532,236732,12192
1587321963,617555,242786,13869
1587414132,633861,247512,14347
1587486302,649325,251690,14828
1587575313,669982,257216,15302
