seconds_since_Epoch,tested,positive,deaths
1583651326,14,0,
1583790458,19,3,
1583880061,32,3,
1583951429,49,4,
1584055830,87,5,
1584137412,222,13,
1584214605,375,26,
1584306715,538,37,
1584396920,538,50,
1584475630,538,67,
1584563350,538,88,
1584641940,538,119,
1584729642,538,169,
1584750869,538,169,1
1584814995,538,247,1
1584832449,538,247,3
1584907292,538,351,3
1584988373,582,442,6
1585077155,704,564,8
1585169789,844,704,10
1585251221,1007,867,15
1585334649,1277,1137,19
1585420273,1546,1406,25
1585506689,1793,1653,29
1585595271,2073,1933,39
1585611141,27275,1933,39
1585678676,27275,2199,55
1585764986,27275,2547,65
1585853342,27275,2902,81
1585942033,27275,3312,91
1586031902,27275,3739,102
1586111042,27275,4043,119
1586196603,27275,4450,142
1586282823,27275,4782,167
1586370003,27275,5148,193
1586460362,27275,5148,213
1586463423,27275,5512,213
1586543273,27275,5836,213
1586555254,27275,5836,231
1586631335,27275,6187,247
1586715247,27275,6518,253
1586731737,63243,6518,253
1586804141,65112,6975,274
1586891102,65112,7153,324
1586896802,67874,7153,324
1586975147,71552,7791,361
1587062999,71552,8239,389
1587081132,74840,8239,389
1587150062,74840,8858,418
1587167222,77677,8858,418
1587242043,83131,10222,451
1587321902,86989,11292,471
1587409979,86989,12516,509
1587436157,90839,12516,509
1587501902,94239,13250,557
1587587960,97998,13609,610
