seconds_since_Epoch,tested,positive,deaths
1583651326,9,1,
1583880061,28,2,
1584055830,43,3,
1584137412,76,3,
1584161186,77,4,
1584286826,137,7,
1584333620,138,8,
1584396920,213,10,
1584475630,348,19,
1584563350,519,31,
1584641940,762,46,
1584661658,762,46,1
1584727343,963,51,1
1584814995,963,55,1
1584894599,963,69,2
1584982168,963,83,2
1585077155,963,108,3
1585158458,971,166,5
1585243622,1208,250,7
1585326353,1408,324,8
1585414054,1559,379,15
1585505264,1636,431,16
1585588433,1690,483,17
1585671592,1796,567,23
1585760279,1969,721,30
1585845723,2146,881,34
1585933263,2305,990,38
1586017983,2523,1161,42
1586106182,2655,1254,46
1586190842,2751,1329,51
1586279343,2910,1474,67
1586362443,3005,1526,79
1586451902,3205,1686,80
1586536382,3315,1796,88
1586621578,3387,1868,94
1586621702,22511,1868,94
1586622003,22658,1868,94
1586708299,22760,1970,96
1586795582,22760,1970,99
1586822542,22859,2069,99
1586883721,28225,2069,108
1586911082,28269,2184,108
1586967662,29140,2184,123
1587055802,30795,2184,123
1587071102,30899,2357,123
1587071162,30899,2357,131
1587167551,35561,2465,136
1587341882,35561,2599,140
1587436157,35561,2680,143
1587504827,35561,2807,164
1587525589,46122,2807,164
