seconds_since_Epoch,tested,positive,deaths
1583651326,124,7,
1583700173,167,14,
1583790458,231,14,
1583880061,295,15,
1583981097,367,19,
1584055830,437,24,
1584137412,524,30,
1584243426,681,36,
1584333620,800,39,
1584412310,920,47,
1584498947,1248,65,1
1584563350,1554,75,3
1584661658,1854,88,3
1584734752,2550,114,3
1584823540,2912,137,4
1584907292,3025,161,4
1584992546,3840,191,5
1585081911,4559,209,8
1585175447,5742,266,10
1585257049,7269,316,11
1585342922,8924,414,12
1585425507,10172,479,13
1585506689,11426,548,13
1585595874,12883,606,16
1585688590,13826,690,18
1585776709,14868,736,19
1585863482,16085,826,21
1585950542,17434,899,22
1586043602,18925,999,26
1586122442,20624,1068,27
1586210703,21801,1132,29
1586305623,23007,1181,33
1586385842,24564,1239,38
1586469902,25627,1321,44
1586562237,27224,1371,48
1586647152,28638,1447,51
1586719681,29758,1527,52
1586805134,31121,1584,53
1586894576,32363,1633,55
1586979722,33351,1663,58
1587067711,34938,1736,64
1587154060,36321,1785,70
1587242043,37583,1844,72
1587328097,39038,1910,74
1587414132,40045,1956,75
1587501902,41128,2002,78
1587587960,41185,2059,78
