seconds_since_Epoch,tested,positive,deaths
1583651326,,2,
1583790458,62,3,
1583880061,87,5,
1583981097,107,5,
1584055830,160,5,
1584137412,185,14,
1584214605,275,20,
1584306715,408,20,
1584396920,478,21,
1584563350,907,33,
1584727343,907,44,
1584804875,955,54,
1584814996,1101,54,
1584820938,1218,66,
1584907292,1231,83,
1585004414,1303,106,
1585152300,1463,124,
1585175447,1471,132,
1585184300,1652,132,
1585267264,1669,165,
1585363508,2509,203,
1585457169,2780,239,
1585524040,3134,294,
1585526144,3134,294,3
1585598379,3595,408,4
1585688590,3964,488,8
1585776709,4397,566,8
1585778149,4397,566,10
1585850102,4397,657,12
1585950542,5568,711,14
1586037362,6390,806,17
1586119923,8103,922,25
1586210703,8103,922,27
1586298063,10306,1229,30
1586374562,12132,1450,35
1586469902,14008,1727,43
1586562771,15432,2015,49
1586631335,18207,2349,56
1586713908,20350,2665,63
1586812683,22625,2976,73
1586899922,23926,3251,80
1587007082,25897,3529,87
1587081429,28064,3838,105
1587167222,30761,4177,118
1587257702,32826,4491,137
1587341882,34699,4706,150
1587436157,37080,5090,155
1587504827,39333,5500,171
