seconds_since_Epoch,tested,positive,deaths
1583651326,,,
1583823426,31,7,
1583880061,41,9,
1583981097,58,10,
1584055830,87,12,
1584137412,123,13,
1584225606,173,19,
1584306715,263,28,
1584396921,344,33,
1584412310,344,33,1
1584498947,456,47,1
1584598356,643,60,1
1584661658,914,81,1
1584750869,1380,125,1
1584823540,1639,173,1
1584832449,1639,173,3
1584910163,1661,195,3
1584992546,1661,195,5
1585004414,2207,195,5
1585015867,2310,298,5
1585084902,2470,342,5
1585102036,2470,342,7
1585169789,2727,424,7
1585243622,2727,424,8
1585259867,2731,424,8
1585267264,2763,456,9
1585344829,2947,539,13
1585426676,3068,660,15
1585431799,3675,660,15
1585511978,4247,660,15
1585512536,4361,774,16
1585599246,5085,925,18
1585688590,5699,1083,22
1585776709,6326,1293,26
1585858803,6734,1293,26
1585860363,6995,1554,31
1585950542,7477,1700,34
1586017142,18097,1700,34
1586031902,18314,1917,40
1586119923,18976,2049,44
1586210703,21384,2232,48
1586291162,23680,2417,51
1586374562,23815,2552,63
1586377322,24634,2552,63
1586463302,24874,2792,67
1586469902,26296,2792,67
1586549702,28183,3065,72
1586635202,29951,3065,72
1586635682,30093,3207,80
1586723426,31425,3319,82
1586813419,31545,3439,87
1586815519,32764,3439,87
1586894576,33872,3553,97
1586978702,34630,3553,97
1586978755,34630,3553,107
1586992563,34733,3656,107
1587071976,36009,3656,109
1587081132,36284,3931,109
1587161583,37485,3931,109
1587167222,37640,4086,116
1587242043,38673,4086,116
1587252663,38833,4246,119
1587328097,40480,4377,120
1587436157,41277,4439,124
1587503431,42441,4608,135
1587594782,42958,4608,135
