seconds_since_Epoch,tested,positive,deaths
1583651326,,,
1583713441,,3,
1583823426,,4,
1583880061,,7,
1583909676,7,7,
1583940693,57,7,
1583981097,70,9,
1584055830,97,18,
1584137412,142,26,
1584214605,162,32,
1584306715,196,39,
1584396921,322,52,
1584475630,403,73,
1584563350,443,98,
1584661658,618,154,
1584734752,791,228,
1584820938,1013,371,
1584907292,1353,505,
1584999109,1526,615,
1585077155,12099,667,
1585102036,12099,667,2
1585169789,11796,784,3
1585251221,14909,957,3
1585339080,16091,1203,6
1585424731,18338,1373,6
1585511978,20574,1537,7
1585595874,23304,1834,13
1585683582,27360,2239,23
1585776709,32452,2683,24
1585858082,34611,2845,32
1585942033,37839,3067,37
1586031902,41391,3321,43
1586119923,45300,3633,44
1586201882,47350,3802,65
1586290502,52874,4138,72
1586374022,56618,4362,79
1586460962,59849,4634,94
1586563142,62799,4862,98
1586635682,66828,5114,101
1586731167,70747,5308,101
1586818427,76195,5610,109
1586908502,78831,5823,124
1586986965,80896,6079,135
1587081132,85049,6262,141
1587167222,87273,6589,142
1587257702,90586,6762,145
1587341882,97098,7070,148
1587436157,100689,7238,152
1587504827,108182,7394,157
