seconds_since_Epoch,tested,positive,deaths
1583651326,,1,
1583855685,,2,
1583909676,2,2,
1583981098,3,3,
1584055830,5,5,
1584137412,6,6,
1584204870,9,9,
1584243426,10,10,
1584255109,19,19,
1584306715,28,28,
1584396921,39,39,
1584475630,51,51,
1584563351,63,63,
1584631342,1222,63,0
1584661658,1526,78,0
1584727343,2147,112,0
1584814996,2560,136,0
1584907292,3689,181,1
1584992546,5048,257,1
1585077155,5823,298,1
1585169789,6837,346,1
1585251221,7710,402,1
1585334649,9244,480,2
1585420273,11312,602,2
1585506689,13993,719,2
1585595874,16003,806,4
1585682510,18513,887,5
1585766950,20155,1012,7
1585858082,21065,1074,7
1585942033,24248,1246,7
1586031902,28043,1428,8
1586111042,30892,1605,8
1586201882,33394,1675,13
1586286842,34647,1738,13
1586401143,36116,1846,13
1586463363,38373,1976,13
1586562237,40762,2102,17
1586642192,42546,2206,18
1586730843,44234,2303,18
1586818862,45787,2363,18
1586908814,46476,2412,19
1586986965,47614,2542,20
1587081132,49678,2683,21
1587167222,55771,2805,23
1587257702,59944,2931,25
1587341882,63555,3069,27
1587436157,68311,3213,28
1587504827,72358,3296,32
