seconds_since_Epoch,tested,positive,deaths
1583651326,29,1,
1583790458,35,1,
1583880061,41,1,
1583951429,63,1,
1584055830,99,2,
1584137412,144,2,
1584208421,231,4,
1584306715,352,4,
1584396921,433,12,
1584475630,505,10,
1584515664,512,17,
1584563351,611,19,
1584641940,667,22,
1584729642,808,29,
1584832449,978,49,2
1584907292,1158,52,2
1584988373,1173,75,5
1585077155,1535,95,7
1585158458,1712,123,8
1585245769,2008,158,9
1585330099,2261,184,10
1585415582,2374,211,12
1585499554,3701,235,12
1585588433,3930,256,12
1585678676,4250,293,13
1585760280,4495,321,16
1585843611,4711,338,17
1585935363,5228,389,17
1586031902,5844,461,20
1586106182,6582,512,22
1586193363,6633,543,23
1586298602,7129,575,23
1586401082,7749,605,23
1586470623,7749,628,23
1586492522,8181,628,23
1586562237,8657,679,24
1586655602,8657,711,25
1586740563,8705,727,27
1586818427,10365,748,28
1586908502,10585,752,29
1586986965,11081,759,30
1587081132,11507,768,35
1587167222,12116,779,35
1587341882,12116,812,37
1587436157,12981,816,38
1587504827,13111,818,40
