seconds_since_Epoch,tested,positive,deaths
1583651326,,102,16
1583713441,1246,136,18
1583790458,1311,162,21
1583804881,1311,162,22
1583880061,2442,267,24
1583981098,3403,366,29
1584063709,4807,457,31
1584137412,6569,568,37
1584225606,7764,642,40
1584333620,10220,769,42
1584412311,12486,904,48
1584498947,14129,1012,52
1584598356,17105,1187,66
1584661658,20712,1376,74
1584750869,23243,1524,83
1584832449,27121,1793,94
1584921301,30875,1996,95
1585004414,33933,2221,110
1585100787,34181,2469,123
1585191176,34292,2580,132
1585267264,46380,3207,147
1585349795,52715,3700,175
1585363508,52738,3723,175
1585436092,59196,4300,175
1585437939,59196,4300,189
1585440114,59206,4310,189
1585543328,65462,4896,195
1585791054,74798,5984,247
1585874102,79418,6585,262
1585957082,82599,6966,284
1586043602,87918,7591,310
1586131322,91375,7984,338
1586224563,91775,8384,372
1586301722,92073,8682,394
1586385842,92488,9097,421
1586485579,92999,9608,446
1586569772,93278,9887,475
1586648162,93615,10224,491
1586738971,93802,10411,508
1586832182,93929,10538,516
1586921672,122854,10694,541
1587001202,124283,10783,567
1587090648,128900,11152,583
1587174970,131627,11445,603
1587257702,131984,11802,624
1587342423,138654,11802,634
1587436157,141011,12085,652
1587511803,145031,12282,682
