seconds_since_Epoch,tested,positive,deaths
1583651326,5,0,
1583981098,8,0,
1584055830,12,0,0
1584137412,21,0,0
1584148400,31,0,0
1584243426,39,0,0
1584333620,41,0,0
1584396921,84,0,0
1584498947,137,1,0
1584598356,148,2,0
1584683488,237,5,0
1584727343,239,7,0
1584750869,340,8,0
1584820938,343,11,0
1584832449,397,12,0
1584836272,398,12,0
1584921301,464,16,0
1585015867,630,20,0
1585102036,804,39,0
1585184300,1102,52,0
1585277218,1898,76,0
1585363508,2433,96,0
1585436092,2818,113,0
1585524040,3108,124,1
1585602613,3827,145,1
1585685048,4143,162,1
1585760280,4575,191,1
1585779433,4575,191,2
1585865223,5493,217,2
1585933682,6367,237,2
1586015943,7686,282,2
1586098502,8838,324,3
1586190842,9940,345,3
1586196603,9940,345,4
1586277062,12059,412,4
1586362443,12545,462,4
1586380922,12859,483,4
1586449682,12934,485,4
1586457242,12934,485,5
1586470682,13863,523,5
1586534462,14537,536,5
1586554262,15101,574,5
1586621042,15452,577,5
1586647152,15819,591,6
1586708299,16124,593,6
1586729403,16257,611,8
1586795583,16655,626,9
1586812683,16748,633,9
1586879162,17038,640,9
1586899922,17224,694,10
1586963762,17656,702,10
1586992563,17821,718,12
1587048543,18027,723,12
1587069543,18306,739,13
1587141027,18681,754,13
1587167222,19088,775,16
1587225243,19440,785,16
1587252663,19794,825,18
1587314942,20031,863,18
1587331983,21675,890,20
1587394562,22155,902,24
1587486302,22763,914,26
1587507668,25435,929,26
1587571827,25836,939,26
